,Unnamed: 0,index,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,beds,Predictions
0,0,4,San Francisco,2020-04-21,76.0,45.0,121.0,738.0,25.0,9.0,79.0,2525.0,2543.719674506119
1,1,53,San Francisco,2020-04-22,75.0,17.0,92.0,738.0,28.0,3.0,74.0,554.0,538.2573130935627
2,2,96,San Francisco,2020-04-23,75.0,29.0,104.0,1173.0,31.0,6.0,70.0,552.0,506.43759101949945
3,3,163,San Francisco,2020-04-24,75.0,19.0,94.0,1173.0,30.0,5.0,108.0,2487.0,2481.793269059608
4,4,192,San Francisco,2020-04-25,73.0,18.0,91.0,1412.0,29.0,3.0,132.0,579.0,511.3218481649337
5,5,256,San Francisco,2020-04-26,79.0,21.0,100.0,1412.0,31.0,3.0,126.0,725.0,753.2464689536965
6,6,302,San Francisco,2020-04-27,82.0,19.0,101.0,1412.0,29.0,3.0,149.0,2150.0,2053.263284515365
7,7,364,San Francisco,2020-04-28,81.0,23.0,104.0,1412.0,27.0,9.0,132.0,2025.0,1876.8480888236838
8,8,389,San Francisco,2020-04-29,80.0,24.0,104.0,1862.0,26.0,6.0,107.0,1628.0,1739.2605769908432
9,9,451,San Francisco,2020-04-30,85.0,11.0,96.0,1887.0,32.0,1.0,100.0,1442.0,1435.9291649537897
10,10,531,San Francisco,2020-05-02,81.0,27.0,108.0,1915.0,29.0,7.0,101.0,2106.0,2061.6433164135588
11,11,578,San Francisco,2020-05-03,83.0,18.0,101.0,1915.0,30.0,4.0,107.0,871.0,958.7815766646213
12,12,674,San Francisco,2020-05-05,79.0,24.0,103.0,2619.0,27.0,6.0,101.0,1864.0,1708.3179827082386
13,13,715,San Francisco,2020-05-06,76.0,12.0,88.0,2619.0,26.0,4.0,113.0,1854.0,1748.5278698650134
14,14,756,San Francisco,2020-05-07,72.0,21.0,93.0,2619.0,30.0,1.0,78.0,2455.0,2393.766747905434
15,15,826,San Francisco,2020-05-08,71.0,32.0,103.0,2619.0,28.0,7.0,92.0,563.0,525.2693833915234
16,16,866,San Francisco,2020-05-09,68.0,29.0,97.0,2619.0,28.0,4.0,97.0,673.0,662.9413585756015
17,17,910,San Francisco,2020-05-10,66.0,25.0,91.0,2619.0,25.0,9.0,102.0,707.0,776.5433590230698
18,18,966,San Francisco,2020-05-11,63.0,28.0,91.0,2619.0,23.0,11.0,107.0,571.0,558.8594991717774
19,19,1037,San Francisco,2020-05-12,63.0,27.0,90.0,2619.0,23.0,4.0,100.0,576.0,537.5509083781025
20,20,1092,San Francisco,2020-05-13,57.0,32.0,89.0,2619.0,24.0,7.0,108.0,2532.0,2383.23002557702
21,21,1103,San Francisco,2020-05-14,56.0,38.0,94.0,2619.0,20.0,10.0,111.0,688.0,680.1640052258435
22,22,1170,San Francisco,2020-05-15,56.0,33.0,89.0,2619.0,19.0,4.0,85.0,2446.0,2504.474982087317
23,23,1234,San Francisco,2020-05-16,44.0,30.0,74.0,2619.0,20.0,4.0,106.0,2619.0,2499.0618835664827
24,24,1270,San Francisco,2020-05-17,40.0,31.0,71.0,2619.0,18.0,5.0,101.0,2502.0,2389.924419224035
25,25,1292,San Francisco,2020-05-18,46.0,33.0,79.0,2619.0,22.0,9.0,115.0,690.0,680.0631447901717
26,26,1345,San Francisco,2020-05-19,48.0,26.0,74.0,2619.0,18.0,2.0,114.0,592.0,809.7633272767325
